dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.010509	0.14065	0.18971	0.18085	0.24528	0.10988	0.16929	0.15483	0.22378	0.26631	0.27831	0.12037	0.01739	0.0097477	0.012702	0.0093413	0.011059	0.27831	0.20808	0.10022	-0.10786	0.043596	0.24521	0.3402	0.4666	0.61583	0.71738	0.3125	0.19353	0.77183	0.81523	0.82818	0.013903	0.024407	0.061511	0.09149	0.042865	0.085382	0.07946	0.11082	0.13385	0.13473	0.057713	0.0032496	0.0041147	0.0035557	0.0009466	0.0054356	0.24161	0.26649	0.22465	0.24969	-0.052979	-0.10159	0.092602	0.086876	-0.13271	0.070828	0.089551	0.1075	0.076014	0.088629	0.12993	0.133	-0.045833	-0.027707	-0.039894	0.14021	0.16287	-0.01191	0.17054	0.10195	-0.0040116	-0.039585	0.010381	-0.022769	1.9826	446
0.015982	0.22584	0.29087	0.36025	0.19787	0.20316	0.19801	0.25851	0.37317	0.45847	0.34346	0.23573	0.015989	0.020845	0.012392	0.018942	0.018145	0.45847	0.25369	0.13162	-0.12206	0.066617	0.27468	0.32207	0.37518	0.42897	0.46652	0.54167	0.15196	0.69825	0.83434	0.83283	0.089434	0.060972	0.050975	0.013595	0.033947	0.087845	0.10021	0.1845	0.22774	0.1687	0.11614	0.0082415	0.0037172	0.0024898	0.0021531	0.0031485	0.22301	0.3129	0.26062	0.27386	0.025694	0.068152	0.14142	0.093117	-0.14004	0.10894	0.12468	0.13285	0.12706	0.14107	0.13714	0.084894	0.12722	0.016129	-0.048804	-0.088908	-0.07208	-0.061318	0.0076634	-0.0081883	-0.049609	-0.042112	-0.036549	-0.037367	1.8986	455
0.010406	0.10831	0.14245	0.034514	0.22947	0.052266	0.1116	0.15153	0.30151	0.17257	0.032797	0.18932	0.01205	0.014881	0.010343	0.010119	0.0068191	0.30151	0.14592	0.089265	-0.056654	0.033018	0.18176	0.28152	0.42894	0.61548	0.6981	0.54688	0.19059	0.20991	0.47782	0.55939	0.0401	0.050759	0.013217	0.11902	0.027115	0.065294	0.093029	0.15356	0.086856	0.016328	0.026803	0.002058	0.0032792	0.0013678	0.0020529	0.0023627	0.22847	0.25529	0.20936	0.23457	-0.077335	-0.12584	0.14021	0.078327	0.078113	-0.021651	-0.082119	-0.032122	0.0032215	0.12432	0.13947	-0.13527	0.063165	-0.0024668	0.1269	-0.11724	0.44903	0.22225	0.32854	0.32196	0.13918	0.021179	0.08642	0.068275	1.6853	322
0.0089149	0.12393	0.090792	0.032508	0.20428	0.065614	0.092291	0.12051	0.25397	0.15849	0.032175	0.14671	0.012006	0.013995	0.0092152	0.01142	0.0068517	0.25397	0.093218	0.042015	-0.051203	0.031876	0.11693	0.18366	0.28355	0.41086	0.46238	0.38542	0.15539	0.20991	0.45744	0.53866	0.0049898	0.052106	0.014053	0.017315	0.01265	0.038888	0.055325	0.12546	0.08108	0.011666	0.062387	0.0019932	0.0029466	0.0013662	0.0025474	0.00085588	0.21632	0.23211	0.20504	0.21886	0.041262	0.13759	0.10246	0.11447	0.11808	0.13352	0.11648	0.13384	0.093072	0.13183	0.14096	-0.14138	-0.012584	0.12151	-0.119	0.018541	0.35132	0.25709	0.41247	0.3333	0.092866	0.038554	0.14566	0.083471	1.694	390
0.019084	0.086427	0.29536	0.3106	0.42634	0.41112	0.39699	0.39568	0.37392	0.28865	0.26314	0.20133	0.022048	0.0091857	0.014781	0.0078606	0.0095894	0.42634	0.42764	0.24619	-0.18145	0.070281	0.45812	0.52583	0.59994	0.67297	0.72001	0.15625	0.17787	1.114	1.3665	1.1781	0.036397	0.15926	0.16548	0.22758	0.21682	0.20462	0.20215	0.18538	0.14276	0.12933	0.076382	0.011654	0.0013314	0.00036832	0.0019293	0.0038467	0.15622	0.36993	0.23518	0.28779	-0.0672	0.040876	0.051851	0.050072	0.061615	0.084937	0.094511	0.12945	0.13245	0.14031	-0.13278	0.059399	-0.13536	-0.038233	-0.083629	-0.13501	-0.043073	-0.011395	0.012676	0.11969	-0.044747	-0.053526	-0.048818	-0.02027	2.0113	3056
0.0093615	0.051203	0.083512	0.086869	0.16532	0.091366	0.23367	0.24476	0.33066	0.29772	0.21778	0.090012	0.0062462	0.017655	0.0091946	0.012437	0.010922	0.33066	0.23409	0.12533	-0.10876	0.035524	0.28737	0.43239	0.64093	0.90058	1.0349	0.30729	0.15905	0.71472	0.90583	0.95346	0.020921	0.027862	0.021713	0.084374	0.045235	0.11531	0.12032	0.17406	0.15156	0.10774	0.044482	0.00082786	0.00058685	0.0026355	0.0024452	0.001634	0.28694	0.31191	0.27475	0.29681	0.020885	-0.082896	0.083427	0.095653	0.13114	0.13521	0.14004	0.063423	0.098449	0.1321	0.1334	-0.050667	-0.13306	0.072758	-0.063779	0.1147	0.2602	0.049003	0.21454	0.16538	0.015011	-0.039154	0.004316	-0.017853	1.9546	461
0.0048454	0.053781	0.055478	0.11962	0.035689	0.022189	0.056382	0.070783	0.21108	0.02879	0.024419	0.023178	0.0062224	0.020134	0.014431	0.0092049	0.0055152	0.21108	0.070118	0.031834	-0.038284	0.018049	0.09853	0.19371	0.36809	0.60386	0.52889	0.45312	0.13604	0.20902	0.14803	0.14464	0.024064	0.027464	0.052039	0.017674	0.0060467	0.020864	0.02164	0.10418	0.015793	0.0094871	0.0055105	0.00071234	0.0026485	0.0011637	0.0013289	0.00066135	0.30383	0.32313	0.29624	0.30835	0.027729	0.13126	0.060368	0.13081	-0.077404	0.093671	0.069071	0.13503	-0.10566	0.095578	-0.14004	0.045319	-0.012813	-0.035384	0.053223	0.11975	0.31258	0.27165	0.31256	0.29855	0.029815	0.012494	0.032256	0.024555	1.3492	318
0.020521	0.18461	0.11309	0.48071	0.51059	0.3813	0.19803	0.20426	0.32261	0.32151	0.45085	0.26532	0.013595	0.017256	0.023958	0.018528	0.014955	0.51059	0.42967	0.2828	-0.14687	0.066159	0.46588	0.54774	0.63979	0.73331	0.7991	0.23438	0.14864	0.46058	0.55805	0.76127	0.04985	0.063004	0.25045	0.28406	0.20967	0.11684	0.13831	0.19616	0.18054	0.24153	0.14204	0.0056689	0.00065488	0.0032451	0.0068997	0.0024509	0.076511	0.30763	0.17173	0.23802	0.0050473	0.013392	0.073768	0.014496	0.023995	-0.026975	-0.091934	-0.044683	0.0072846	0.046755	0.047392	-0.058586	0.10525	0.13685	0.092871	0.13931	0.1991	0.067497	0.049085	0.24341	0.004509	-0.036668	-0.026647	0.028918	1.8212	1233
0.013804	0.11692	0.15505	0.12424	0.17323	0.21631	0.34845	0.43329	0.38274	0.26154	0.20588	0.15794	0.0078785	0.016806	0.0093588	0.010361	0.012272	0.43329	0.29919	0.1402	-0.15899	0.053263	0.33876	0.43409	0.55138	0.68136	0.77977	0.27604	0.22414	0.69874	0.87526	0.82438	0.056631	0.069173	0.065243	0.092014	0.10668	0.17314	0.21291	0.18871	0.12955	0.098868	0.084865	0.0029374	0.0041666	0.0012909	0.0014834	0.0028378	0.30109	0.39403	0.28267	0.33657	-0.021404	-0.10479	0.065792	0.054724	0.13595	0.12668	0.14057	0.1363	0.13051	0.13771	0.14005	0.095967	-0.14098	0.093148	0.14139	0.14142	0.011627	-0.054857	-0.014476	0.0072657	-0.048023	-0.057697	-0.056757	-0.051081	1.9539	412
0.016001	0.60202	0.10242	0.45651	0.51373	0.0558	0.027001	0.010384	0.016007	0.036287	0.03997	0.022355	0.018826	0.025396	0.019882	0.015473	0.023369	0.60202	0.14398	0.097802	-0.046179	0.035334	0.17694	0.26679	0.39627	0.55767	0.64034	0.43229	0.058973	0.17529	0.22136	0.31815	0.1261	0.05208	0.25987	0.25297	0.023432	0.0064188	0.0043564	0.0051288	0.018847	0.011781	0.002714	0.0003539	0.011094	0.005098	0.0030012	0.0057326	0.087068	0.26639	0.19832	0.20232	0.14107	0.099769	-0.0028749	-0.047588	-0.087209	0.095954	-0.070242	-0.089989	0.076931	-0.046795	-0.097246	0.14084	0.12947	-0.13745	-0.07199	0.11905	0.22775	0.37313	0.27359	0.44869	-0.015741	0.065114	0.0024095	0.14522	1.0766	466.5
